Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Scale_1_1,Scale_1_2,Scale_1_3,Scale_2_1,Scale_2_2,Scale_2_3,Scale_3_1,Scale_3_2,Scale_3_3,Scale_4_1,Scale_4_2,Scale_4_3,Scale_5_1,Scale_5_2,Scale_5_3,Scale_6_1,Scale_6_2,Scale_6_3,Scale_7_1,Scale_7_2,Scale_7_3,Scale_8_1,Scale_8_2,Scale_8_3,Scale_9_1,Scale_9_2,Scale_9_3,Q10_1,Q10_2,Q10_3,Q11_1_gender,Q11_2_age_range,Q11_3_occupation,Q11_4_income,Q11_5_residence,_meta_social_drive,_meta_consumption_pref,_meta_interaction_obsession,_meta_tourism_energy,_meta_residence_type
7次及以上,有,2-3位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）,微博/超话/粉丝群|抖音/快手/小红书|大麦/猫眼/票星球等票务平台|朋友圈/朋友推荐,进阶档（优选看台）,200-500元,50-200元,4,4,3,2,4,4,3,4,4,5,5,5,4,3,4,3,2,3,2,2,3,4,3,4,3,4,3,B: 680元（优选看台）+ 轻度互动（上大屏）+ 双景点&酒店8折,B: 680元（优选看台）+ 深度互动（点歌）+ 无文旅服务,B: 680元（优选看台）+ 无互动 + 单景点票,女,17-21岁（2005-2009年出生）,本科生/专科生,1001-3000元,天津市和平区,精致出片,理性消费者,弱互动执念,精力充沛,天津本地
7次及以上,有,2-3位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）|线上会员/直播打赏/应援打榜,微博/超话/粉丝群|抖音/快手/小红书|B站/视频号|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室,进阶档（优选看台）,200元及以下,50-200元,4,4,3,2,4,4,3,5,5,5,5,5,4,3,4,3,2,4,2,2,2,5,4,4,4,4,4,B: 680元（优选看台）+ 轻度互动（上大屏）+ 双景点&酒店8折,C: 1280元（内场）+ 无互动 + 双景点&酒店8折,B: 680元（优选看台）+ 无互动 + 单景点票,男,22-26岁（2000-2004年出生）,本科生/专科生,6001-10000元,天津市和平区,精致出片,理性消费者,弱互动执念,精力充沛,天津本地
1-3次,有,1位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）,微博/超话/粉丝群|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室,基础档（普通看台）,200元及以下,50元及以下,3,4,4,4,4,5,2,3,3,5,5,5,4,4,4,3,4,4,3,4,5,5,4,4,2,3,2,B: 680元（优选看台）+ 轻度互动（上大屏）+ 双景点&酒店8折,A: 380元（普通看台）+ 轻度互动（上大屏）+ 单景点票,A: 380元（普通看台）+ 深度互动（点歌）+ 双景点&酒店8折,女,27-31岁（1995-1999年出生）,企业/单位在职人员（工作4-8年）,1001-3000元,宁夏回族自治区固原市,解压放松,抠门陪伴党,强互动执念,精力匮乏,其他省份远途
7次及以上,有,2-3位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）|代言产品|线上会员/直播打赏/应援打榜|粉丝团/后援会相关费用,微博/超话/粉丝群|抖音/快手/小红书|B站/视频号|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室|演出主办方/场馆官方宣传,高端档（内场）,501-1000元,201-500元,5,5,5,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,1,2,2,5,5,5,4,5,5,C: 1280元（内场）+ 深度互动（点歌）+ 单景点票,B: 680元（优选看台）+ 深度互动（点歌）+ 无文旅服务,C: 1280元（内场）+ 轻度互动（上大屏）+ 无文旅服务,女,22-26岁（2000-2004年出生）,企业/单位在职人员（工作4-8年）,10000元以上,天津市宝坻区,解压放松,极致前排控,强互动执念,精力充沛,天津本地
7次及以上,有,1位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）|代言产品|线上会员/直播打赏/应援打榜|粉丝团/后援会相关费用,微博/超话/粉丝群|抖音/快手/小红书|B站/视频号|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室|演出主办方/场馆官方宣传,高端档（内场）,1001-2000元,201-500元,5,5,5,4,5,5,2,3,3,5,5,5,5,5,5,5,5,5,2,3,4,5,4,5,2,5,5,C: 1280元（内场）+ 深度互动（点歌）+ 单景点票,B: 680元（优选看台）+ 深度互动（点歌）+ 无文旅服务,C: 1280元（内场）+ 轻度互动（上大屏）+ 无文旅服务,男,22-26岁（2000-2004年出生）,待业/备考,3001-6000元,宁夏回族自治区银川市,饭圈打卡,极致前排控,强互动执念,精力匮乏,其他省份远途
1-3次,有,无,,抖音/快手/小红书|大麦/猫眼/票星球等票务平台|朋友圈/朋友推荐,基础档（普通看台）,200-500元,,4,3,2,1,1,1,3,4,4,5,5,5,4,2,4,2,2,3,3,3,4,4,3,4,3,2,2,A: 380元（普通看台）+ 无互动 + 无文旅服务,A: 380元（普通看台）+ 轻度互动（上大屏）+ 单景点票,B: 680元（优选看台）+ 无互动 + 单景点票,男,22-26岁（2000-2004年出生）,企业/单位在职人员（工作1-3年）,6001-10000元,山西省太原市,精致出片,抠门陪伴党,弱互动执念,精力一般,中程较近
1-3次,有,无,,大麦/猫眼/票星球等票务平台|朋友圈/朋友推荐|演出主办方/场馆官方宣传,基础档（普通看台）,200-500元,,3,2,2,1,1,1,2,4,4,5,5,5,4,2,4,2,2,3,3,3,4,4,3,4,3,3,2,B: 680元（优选看台）+ 轻度互动（上大屏）+ 双景点&酒店8折,B: 680元（优选看台）+ 深度互动（点歌）+ 无文旅服务,B: 680元（优选看台）+ 无互动 + 单景点票,男,22-26岁（2000-2004年出生）,企业/单位在职人员（工作1-3年）,1001-3000元,山西省晋城市,解压放松,理性消费者,弱互动执念,精力一般,中程较近
7次及以上,有,2-3位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）|线上会员/直播打赏/应援打榜|粉丝团/后援会相关费用,微博/超话/粉丝群|抖音/快手/小红书|B站/视频号|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室,进阶档（优选看台）,501-1000元,50-200元,4,4,5,3,5,5,2,3,3,5,5,5,5,5,5,5,4,4,2,3,4,5,4,5,2,4,3,B: 680元（优选看台）+ 轻度互动（上大屏）+ 双景点&酒店8折,B: 680元（优选看台）+ 深度互动（点歌）+ 无文旅服务,B: 680元（优选看台）+ 无互动 + 单景点票,女,22-26岁（2000-2004年出生）,企业/单位在职人员（工作1-3年）,6001-10000元,湖南省长沙市,饭圈打卡,理性消费者,弱互动执念,精力匮乏,其他省份远途
1-3次,有,2-3位,实体专辑/数字音乐|周边产品（海报/手办/应援物等）,微博/超话/粉丝群|大麦/猫眼/票星球等票务平台|偶像或乐队官方账号/工作室,高端档（内场）,501-1000元,50-200元,4,4,3,2,3,4,3,4,4,5,5,5,4,2,4,3,2,3,2,3,4,4,3,4,3,4,5,C: 1280元（内场）+ 深度互动（点歌）+ 单景点票,C: 1280元（内场）+ 无互动 + 双景点&酒店8折,C: 1280元（内场）+ 轻度互动（上大屏）+ 无文旅服务,男,27-31岁（1995-1999年出生）,企业/单位在职人员（工作1-3年）,6001-10000元,天津市静海区,解压放松,极致前排控,弱互动执念,精力一般,天津本地
1-3次,有,无,,抖音/快手/小红书|B站/视频号|大麦/猫眼/票星球等票务平台|朋友圈/朋友推荐,基础档（普通看台）,200-500元,,3,3,2,1,1,1,2,3,3,4,4,4,3,2,3,2,2,2,4,4,4,3,2,3,2,3,2,A: 380元（普通看台）+ 无互动 + 无文旅服务,A: 380元（普通看台）+ 轻度互动（上大屏）+ 单景点票,B: 680元（优选看台）+ 无互动 + 单景点票,男,27-31岁（1995-1999年出生）,企业/单位在职人员（工作4-8年）,1001-3000元,云南省丽江市,精致出片,理性消费者,弱互动执念,精力匮乏,其他省份远途
